Memory Length,4000,
Trigger Level,-3.99999e+02,
Source,CH1,
Probe,1.0X,
Vertical Units,V,
Vertical Scale,1.00000e+00,
Vertical Position,0.00000e+00,
Horizontal Units,S,
Horizontal Scale,5.00000e-05,
Horizontal Position,2.0000000e-05,
Horizontal Mode,Main,
Sampling Period,2.00000e-07,
Firmware,V1.09,
Time, ,
Mode,Fast,
Waveform Data,
-72,
-72,
-72,
-72,
-72,
-71,
-71,
-70,
-70,
-72,
-72,
-72,
-72,
-71,
-71,
-71,
-71,
-72,
-72,
-71,
-71,
-71,
-71,
-72,
-72,
-72,
-72,
-71,
-71,
-72,
-72,
-72,
-72,
-72,
-72,
-72,
-72,
-71,
-71,
-71,
-71,
-72,
-72,
-71,
-71,
-71,
-71,
-71,
-71,
-71,
-71,
-71,
-71,
-72,
-72,
-72,
-72,
-71,
-71,
-72,
-72,
-73,
-73,
-71,
-71,
-72,
-72,
-72,
-72,
-71,
-71,
-71,
-71,
-71,
-71,
-72,
-72,
-71,
-71,
-71,
-71,
-71,
-71,
-72,
-72,
-72,
-72,
-71,
-71,
-72,
-72,
-71,
-71,
-71,
-71,
-71,
-71,
-71,
-71,
-71,
-71,
-72,
-72,
-71,
16,
21,
46,
47,
47,
55,
55,
61,
61,
68,
68,
73,
73,
75,
75,
78,
78,
80,
80,
81,
81,
83,
83,
83,
83,
84,
84,
85,
85,
85,
85,
85,
85,
85,
85,
85,
85,
85,
85,
86,
86,
85,
85,
85,
85,
86,
86,
86,
86,
86,
86,
87,
87,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
87,
87,
87,
87,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
87,
87,
87,
87,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
87,
87,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
87,
87,
86,
86,
86,
86,
86,
86,
86,
86,
87,
87,
86,
86,
86,
86,
86,
86,
87,
87,
87,
87,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
87,
87,
86,
86,
87,
87,
86,
86,
87,
87,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
87,
87,
87,
87,
86,
86,
86,
86,
86,
86,
87,
87,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
85,
85,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
87,
87,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
87,
87,
87,
87,
86,
86,
87,
87,
86,
86,
86,
86,
87,
87,
87,
87,
86,
86,
86,
86,
86,
86,
86,
86,
87,
87,
86,
86,
85,
85,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
86,
87,
